BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwner,CommuteDistance,NumberOfPurchases,ProfitGenerated
1968,FALSE,3,0,5,5,3,3,TRUE,1,5,10351.6657
1965,FALSE,2,0,0,0,3,3,TRUE,3,1,25636.9867
1964,TRUE,2,1,3,3,3,3,TRUE,0,2,9221.5725
1964,FALSE,2,0,4,4,3,3,TRUE,4,3,16556.0652
1964,FALSE,2,1,0,0,3,3,FALSE,3,1,27955.7062
1963,TRUE,2,1,4,4,3,3,TRUE,4,4,17241.6784
1968,TRUE,3,0,2,0,3,4,TRUE,1,2,13535.9868
1968,TRUE,3,1,2,0,3,4,TRUE,0,3,15911.803
1968,FALSE,3,0,3,0,3,4,FALSE,1,3,13191.614
1979,FALSE,1,0,0,0,2,2,FALSE,3,1,10626.0923
1944,FALSE,0,0,4,0,1,2,TRUE,3,2,2827.898
1944,FALSE,1,1,2,0,2,1,TRUE,3,2,9323.6702
1978,FALSE,1,1,0,0,1,2,FALSE,3,2,12094.631
1978,TRUE,1,1,0,0,2,2,TRUE,1,1,8082.8653
1978,TRUE,2,1,0,0,2,2,TRUE,3,2,18587.7082
1945,TRUE,0,1,2,1,0,1,TRUE,1,2,1345.4481
1946,FALSE,1,1,2,0,2,1,FALSE,1,2,4769.7423
1946,TRUE,1,1,2,0,2,1,TRUE,3,2,7415.1147
1947,TRUE,0,0,2,1,0,1,TRUE,1,3,1000.9566
1947,TRUE,0,0,4,0,1,2,TRUE,1,2,1345.1621
1947,TRUE,0,1,4,0,1,2,TRUE,3,2,2975.7973
1947,TRUE,0,0,4,0,1,2,TRUE,3,2,2279.1232
1948,TRUE,0,0,2,1,0,1,TRUE,1,2,1022.2452
1978,TRUE,2,0,0,0,2,2,TRUE,1,2,8696.9761
1977,FALSE,1,0,0,0,0,1,FALSE,3,2,6821.782
1948,TRUE,0,0,2,1,0,1,TRUE,3,2,1688.0133
1948,TRUE,1,1,3,0,2,1,TRUE,3,3,6897.6737
1977,TRUE,1,1,0,0,2,2,TRUE,1,3,8020.3215
1977,TRUE,2,0,0,0,2,2,TRUE,1,2,8635.9762
1949,TRUE,0,1,2,1,0,1,TRUE,1,2,1377.0285
1950,TRUE,1,0,3,0,1,2,TRUE,3,2,6089.6633
1950,TRUE,1,0,3,0,1,2,FALSE,1,2,3117.9269
1950,TRUE,1,1,3,0,1,2,TRUE,3,3,7947.0479
1980,FALSE,1,0,0,0,0,1,TRUE,3,2,8208.2811
1951,FALSE,1,0,2,0,2,1,FALSE,3,2,5964.2932
1952,TRUE,1,0,2,0,2,2,TRUE,3,2,7415.6298
1952,TRUE,1,1,2,0,2,2,TRUE,3,2,9641.6
1953,TRUE,1,0,3,0,2,2,TRUE,3,3,6904.6947
1954,TRUE,3,1,2,0,2,2,TRUE,1,2,10153.9439
1954,FALSE,3,0,2,0,2,2,TRUE,3,2,15972.2071
